P3BASE,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
P3BASE,0,1,complete,53.49,1,0,0,0,0
P3BASE,0,1,duplicate-only,8.369,0,1,0,0,0
P3BASE,0,1,pending-only,17.16,0,0,1,0,1
P3BASE,0,1,conflicting-identity,0,-,-,-,0,0
P3BASE,0,10,complete,177.859,10,0,0,0,0
P3BASE,0,10,duplicate-only,58.397,0,10,0,0,0
P3BASE,0,10,pending-only,77.72200000000001,0,0,10,0,10
P3BASE,0,10,conflicting-identity,0,-,-,-,0,0
P3BASE,0,100,complete,1609.676,100,0,0,0,0
P3BASE,0,100,duplicate-only,580.265,0,100,0,0,0
P3BASE,0,100,pending-only,801.628,0,0,100,0,100
P3BASE,0,100,conflicting-identity,0,-,-,-,0,0
P3BASE,0,1,dependency-drain,29.919,2,0,0,1,0
P3BASE,1000,1,complete,1389.592,1,0,0,0,0
P3BASE,1000,1,duplicate-only,1271.067,0,1,0,0,0
P3BASE,1000,1,pending-only,1232.202,0,0,1,0,1
P3BASE,1000,1,conflicting-identity,1024.042,-,-,-,0,0
P3BASE,1000,10,complete,1407.288,10,0,0,0,0
P3BASE,1000,10,duplicate-only,1256.71,0,10,0,0,0
P3BASE,1000,10,pending-only,1313.53,0,0,10,0,10
P3BASE,1000,10,conflicting-identity,991.865,-,-,-,0,0
P3BASE,1000,100,complete,3004.556,100,0,0,0,0
P3BASE,1000,100,duplicate-only,1909.358,0,100,0,0,0
P3BASE,1000,100,pending-only,2092.824,0,0,100,0,100
P3BASE,1000,100,conflicting-identity,1011.025,-,-,-,0,0
P3BASE,1000,1,dependency-drain,1312.727,2,0,0,1,0
P3BASE,10000,1,complete,19768.438000000002,1,0,0,0,0
P3BASE,10000,1,duplicate-only,13754.869,0,1,0,0,0
P3BASE,10000,1,pending-only,18596.219,0,0,1,0,1
P3BASE,10000,1,conflicting-identity,12668.655,-,-,-,0,0
P3BASE,10000,10,complete,15986.057,10,0,0,0,0
P3BASE,10000,10,duplicate-only,17253.231,0,10,0,0,0
P3BASE,10000,10,pending-only,18806.100000000002,0,0,10,0,10
P3BASE,10000,10,conflicting-identity,12703.738,-,-,-,0,0
P3BASE,10000,100,complete,21829.865,100,0,0,0,0
P3BASE,10000,100,duplicate-only,17174.761,0,100,0,0,0
P3BASE,10000,100,pending-only,17613.953,0,0,100,0,100
P3BASE,10000,100,conflicting-identity,11566.523000000001,-,-,-,0,0
P3BASE,10000,1,dependency-drain,18061.226,2,0,0,1,0
P3BASE,100000,1,complete,229196.741,1,0,0,0,0
P3BASE,100000,1,duplicate-only,220026.49300000002,0,1,0,0,0
P3BASE,100000,1,pending-only,237741.89,0,0,1,0,1
P3BASE,100000,1,conflicting-identity,191545.711,-,-,-,0,0
P3BASE,100000,10,complete,231981.05800000002,10,0,0,0,0
P3BASE,100000,10,duplicate-only,207631.169,0,10,0,0,0
P3BASE,100000,10,pending-only,233669.78100000002,0,0,10,0,10
P3BASE,100000,10,conflicting-identity,198109.041,-,-,-,0,0
P3BASE,100000,100,complete,233051.68600000002,100,0,0,0,0
P3BASE,100000,100,duplicate-only,219193.462,0,100,0,0,0
P3BASE,100000,100,pending-only,255929.766,0,0,100,0,100
P3BASE,100000,100,conflicting-identity,228407.318,-,-,-,0,0
P3BASE,100000,1,dependency-drain,223667.788,2,0,0,1,0
P3BASE,partial,unsupported,current Text path has no ordinary typed partial result
