target	scenario	cycle	position	arm	policy	mean_us
native	medium/whitespace	1	1	A	always_changed	476.11
native	medium/whitespace	1	2	B	eq_cutoff	443.99
native	medium/whitespace	1	3	B	eq_cutoff	448.84
native	medium/whitespace	1	4	A	always_changed	514.25
native	large/whitespace	1	1	A	always_changed	2350.0
native	large/whitespace	1	2	B	eq_cutoff	1990.0
native	large/whitespace	1	3	B	eq_cutoff	1980.0
native	large/whitespace	1	4	A	always_changed	2500.0
native	medium/early-changing	1	1	A	always_changed	527.45
native	medium/early-changing	1	2	B	eq_cutoff	491.74
native	medium/early-changing	1	3	B	eq_cutoff	513.09
native	medium/early-changing	1	4	A	always_changed	520.99
native	medium/late-changing	1	1	A	always_changed	506.34
native	medium/late-changing	1	2	B	eq_cutoff	530.71
native	medium/late-changing	1	3	B	eq_cutoff	537.78
native	medium/late-changing	1	4	A	always_changed	479.84
native	large/early-changing	1	1	A	always_changed	2300.0
native	large/early-changing	1	2	B	eq_cutoff	2380.0
native	large/early-changing	1	3	B	eq_cutoff	2440.0
native	large/early-changing	1	4	A	always_changed	2280.0
native	large/late-changing	1	1	A	always_changed	2340.0
native	large/late-changing	1	2	B	eq_cutoff	2770.0
native	large/late-changing	1	3	B	eq_cutoff	2620.0
native	large/late-changing	1	4	A	always_changed	2500.0
native	medium/mixed-50	1	1	A	always_changed	2360.0
native	medium/mixed-50	1	2	B	eq_cutoff	2080.0
native	medium/mixed-50	1	3	B	eq_cutoff	2060.0
native	medium/mixed-50	1	4	A	always_changed	2140.0
native	large/mixed-50	1	1	A	always_changed	9860.0
native	large/mixed-50	1	2	B	eq_cutoff	9670.0
native	large/mixed-50	1	3	B	eq_cutoff	10900.0
native	large/mixed-50	1	4	A	always_changed	11560.0
native	medium/whitespace	2	1	B	eq_cutoff	489.75
native	medium/whitespace	2	2	A	always_changed	499.34
native	medium/whitespace	2	3	A	always_changed	517.35
native	medium/whitespace	2	4	B	eq_cutoff	505.82
native	large/whitespace	2	1	B	eq_cutoff	2180.0
native	large/whitespace	2	2	A	always_changed	2540.0
native	large/whitespace	2	3	A	always_changed	2540.0
native	large/whitespace	2	4	B	eq_cutoff	2350.0
native	medium/early-changing	2	1	B	eq_cutoff	574.06
native	medium/early-changing	2	2	A	always_changed	517.85
native	medium/early-changing	2	3	A	always_changed	514.32
native	medium/early-changing	2	4	B	eq_cutoff	490.71
native	medium/late-changing	2	1	B	eq_cutoff	515.09
native	medium/late-changing	2	2	A	always_changed	506.94
native	medium/late-changing	2	3	A	always_changed	531.53
native	medium/late-changing	2	4	B	eq_cutoff	537.91
native	large/early-changing	2	1	B	eq_cutoff	2660.0
native	large/early-changing	2	2	A	always_changed	2710.0
native	large/early-changing	2	3	A	always_changed	2980.0
native	large/early-changing	2	4	B	eq_cutoff	2820.0
native	large/late-changing	2	1	B	eq_cutoff	2550.0
native	large/late-changing	2	2	A	always_changed	2510.0
native	large/late-changing	2	3	A	always_changed	2630.0
native	large/late-changing	2	4	B	eq_cutoff	2710.0
native	medium/mixed-50	2	1	B	eq_cutoff	2009.9999999999998
native	medium/mixed-50	2	2	A	always_changed	2120.0
native	medium/mixed-50	2	3	A	always_changed	2120.0
native	medium/mixed-50	2	4	B	eq_cutoff	1980.0
native	large/mixed-50	2	1	B	eq_cutoff	9990.0
native	large/mixed-50	2	2	A	always_changed	11900.0
native	large/mixed-50	2	3	A	always_changed	12830.0
native	large/mixed-50	2	4	B	eq_cutoff	12800.0
native	medium/whitespace	3	1	A	always_changed	566.37
native	medium/whitespace	3	2	B	eq_cutoff	523.26
native	medium/whitespace	3	3	B	eq_cutoff	512.99
native	medium/whitespace	3	4	A	always_changed	554.34
native	large/whitespace	3	1	A	always_changed	2600.0
native	large/whitespace	3	2	B	eq_cutoff	2240.0
native	large/whitespace	3	3	B	eq_cutoff	2130.0
native	large/whitespace	3	4	A	always_changed	2430.0
native	medium/early-changing	3	1	A	always_changed	494.72
native	medium/early-changing	3	2	B	eq_cutoff	527.97
native	medium/early-changing	3	3	B	eq_cutoff	484.88
native	medium/early-changing	3	4	A	always_changed	489.77
native	medium/late-changing	3	1	A	always_changed	513.05
native	medium/late-changing	3	2	B	eq_cutoff	528.88
native	medium/late-changing	3	3	B	eq_cutoff	508.99
native	medium/late-changing	3	4	A	always_changed	487.83
native	large/early-changing	3	1	A	always_changed	2820.0
native	large/early-changing	3	2	B	eq_cutoff	2900.0
native	large/early-changing	3	3	B	eq_cutoff	2510.0
native	large/early-changing	3	4	A	always_changed	2830.0
native	large/late-changing	3	1	A	always_changed	2570.0
native	large/late-changing	3	2	B	eq_cutoff	2410.0
native	large/late-changing	3	3	B	eq_cutoff	2330.0
native	large/late-changing	3	4	A	always_changed	2460.0
native	medium/mixed-50	3	1	A	always_changed	2050.0
native	medium/mixed-50	3	2	B	eq_cutoff	2060.0
native	medium/mixed-50	3	3	B	eq_cutoff	2090.0
native	medium/mixed-50	3	4	A	always_changed	2160.0
native	large/mixed-50	3	1	A	always_changed	9890.0
native	large/mixed-50	3	2	B	eq_cutoff	9190.0
native	large/mixed-50	3	3	B	eq_cutoff	8900.0
native	large/mixed-50	3	4	A	always_changed	11940.0
js	medium/whitespace	1	1	A	always_changed	487.57
js	medium/whitespace	1	2	B	eq_cutoff	421.39
js	medium/whitespace	1	3	B	eq_cutoff	457.95
js	medium/whitespace	1	4	A	always_changed	451.3
js	large/whitespace	1	1	A	always_changed	2160.0
js	large/whitespace	1	2	B	eq_cutoff	2180.0
js	large/whitespace	1	3	B	eq_cutoff	2220.0
js	large/whitespace	1	4	A	always_changed	2740.0
js	medium/early-changing	1	1	A	always_changed	489.37
js	medium/early-changing	1	2	B	eq_cutoff	444.82
js	medium/early-changing	1	3	B	eq_cutoff	434.47
js	medium/early-changing	1	4	A	always_changed	464.5
js	medium/late-changing	1	1	A	always_changed	474.11
js	medium/late-changing	1	2	B	eq_cutoff	469.97
js	medium/late-changing	1	3	B	eq_cutoff	467.15
js	medium/late-changing	1	4	A	always_changed	470.23
js	large/early-changing	1	1	A	always_changed	2180.0
js	large/early-changing	1	2	B	eq_cutoff	2170.0
js	large/early-changing	1	3	B	eq_cutoff	2190.0
js	large/early-changing	1	4	A	always_changed	2160.0
js	large/late-changing	1	1	A	always_changed	2270.0
