target	scenario	cycle	position	arm	policy	mean_us
native	whitespace-view	1	1	A	always_changed	47.91
native	whitespace-view	1	2	B	eq_cutoff	47.8
native	whitespace-view	1	3	B	eq_cutoff	47.08
native	whitespace-view	1	4	A	always_changed	47.14
native	binding-view	1	1	A	always_changed	53.9
native	binding-view	1	2	B	eq_cutoff	53.69
native	binding-view	1	3	B	eq_cutoff	57.47
native	binding-view	1	4	A	always_changed	53.77
native	tail-definition-operations	1	1	A	always_changed	155.07
native	tail-definition-operations	1	2	B	eq_cutoff	132.68
native	tail-definition-operations	1	3	B	eq_cutoff	137.03
native	tail-definition-operations	1	4	A	always_changed	132.68
native	expression-source-map-operations	1	1	A	always_changed	25.04
native	expression-source-map-operations	1	2	B	eq_cutoff	24.71
native	expression-source-map-operations	1	3	B	eq_cutoff	24.41
native	expression-source-map-operations	1	4	A	always_changed	24.63
native	whitespace-view	2	1	B	eq_cutoff	48.95
native	whitespace-view	2	2	A	always_changed	51.04
native	whitespace-view	2	3	A	always_changed	49.25
native	whitespace-view	2	4	B	eq_cutoff	47.65
native	binding-view	2	1	B	eq_cutoff	52.45
native	binding-view	2	2	A	always_changed	54.59
native	binding-view	2	3	A	always_changed	56.93
native	binding-view	2	4	B	eq_cutoff	53.92
native	tail-definition-operations	2	1	B	eq_cutoff	133.39
native	tail-definition-operations	2	2	A	always_changed	135.62
native	tail-definition-operations	2	3	A	always_changed	135.67
native	tail-definition-operations	2	4	B	eq_cutoff	137.43
native	expression-source-map-operations	2	1	B	eq_cutoff	25.33
native	expression-source-map-operations	2	2	A	always_changed	25.12
native	expression-source-map-operations	2	3	A	always_changed	24.6
native	expression-source-map-operations	2	4	B	eq_cutoff	24.57
native	whitespace-view	3	1	A	always_changed	59.87
native	whitespace-view	3	2	B	eq_cutoff	48.19
native	whitespace-view	3	3	B	eq_cutoff	47.92
native	whitespace-view	3	4	A	always_changed	47.59
native	binding-view	3	1	A	always_changed	54.29
native	binding-view	3	2	B	eq_cutoff	57.49
native	binding-view	3	3	B	eq_cutoff	66.33
native	binding-view	3	4	A	always_changed	57.8
native	tail-definition-operations	3	1	A	always_changed	137.96
native	tail-definition-operations	3	2	B	eq_cutoff	147.68
native	tail-definition-operations	3	3	B	eq_cutoff	146.79
native	tail-definition-operations	3	4	A	always_changed	153.21
native	expression-source-map-operations	3	1	A	always_changed	27.17
native	expression-source-map-operations	3	2	B	eq_cutoff	26.99
native	expression-source-map-operations	3	3	B	eq_cutoff	26.64
native	expression-source-map-operations	3	4	A	always_changed	34.11
js	whitespace-view	1	1	A	always_changed	43.36
js	whitespace-view	1	2	B	eq_cutoff	41.53
js	whitespace-view	1	3	B	eq_cutoff	42.56
js	whitespace-view	1	4	A	always_changed	45.95
js	binding-view	1	1	A	always_changed	53.36
js	binding-view	1	2	B	eq_cutoff	48.17
js	binding-view	1	3	B	eq_cutoff	53.31
js	binding-view	1	4	A	always_changed	52.31
js	tail-definition-operations	1	1	A	always_changed	161.25
js	tail-definition-operations	1	2	B	eq_cutoff	157.76
js	tail-definition-operations	1	3	B	eq_cutoff	154.42
js	tail-definition-operations	1	4	A	always_changed	153.6
js	expression-source-map-operations	1	1	A	always_changed	17.49
js	expression-source-map-operations	1	2	B	eq_cutoff	22.84
js	expression-source-map-operations	1	3	B	eq_cutoff	36.86
js	expression-source-map-operations	1	4	A	always_changed	18.78
js	whitespace-view	2	1	B	eq_cutoff	43.52
js	whitespace-view	2	2	A	always_changed	44.11
js	whitespace-view	2	3	A	always_changed	52.09
js	whitespace-view	2	4	B	eq_cutoff	48.01
js	binding-view	2	1	B	eq_cutoff	54.72
js	binding-view	2	2	A	always_changed	52.93
js	binding-view	2	3	A	always_changed	48.29
js	binding-view	2	4	B	eq_cutoff	78.66
js	tail-definition-operations	2	1	B	eq_cutoff	187.42
js	tail-definition-operations	2	2	A	always_changed	161.05
js	tail-definition-operations	2	3	A	always_changed	246.75
js	tail-definition-operations	2	4	B	eq_cutoff	552.9
js	expression-source-map-operations	2	1	B	eq_cutoff	94.39
js	expression-source-map-operations	2	2	A	always_changed	35.09
js	expression-source-map-operations	2	3	A	always_changed	40.21
js	expression-source-map-operations	2	4	B	eq_cutoff	147.61
js	whitespace-view	3	1	A	always_changed	195.89
js	whitespace-view	3	2	B	eq_cutoff	328.61
js	whitespace-view	3	3	B	eq_cutoff	67.26
js	whitespace-view	3	4	A	always_changed	113.95
js	binding-view	3	1	A	always_changed	149.5
js	binding-view	3	2	B	eq_cutoff	128.07
js	binding-view	3	3	B	eq_cutoff	112.49
js	binding-view	3	4	A	always_changed	66.09
js	tail-definition-operations	3	1	A	always_changed	163.35
js	tail-definition-operations	3	2	B	eq_cutoff	172.56
js	tail-definition-operations	3	3	B	eq_cutoff	172.68
js	tail-definition-operations	3	4	A	always_changed	158.09
js	expression-source-map-operations	3	1	A	always_changed	19.68
js	expression-source-map-operations	3	2	B	eq_cutoff	19.34
js	expression-source-map-operations	3	3	B	eq_cutoff	19.37
js	expression-source-map-operations	3	4	A	always_changed	24.27
